SalesGroup,Division,Vertical
101,IP1,FV - JOINERY IND.
105,Fevicol,FV - Retail
107,Fevicol,FV - F&B
109,Fevicol,BLUECOAT SALES
111,Fevicol,ARALDITE
112,Fevicol,FV-URBAN PERIPHERY
201,CP-ASF,ASF - Retail
202,MODERN TRADE,ASF - MT
203,CP-ASF,ASF - SS
204,CP-ASF,ASF - TS
205,MODERN TRADE,ASF - E-COMMERCE
301,CP-MNT,MNT - Retail
302,CP-MNT,AUTO & INDUSTRIAL
303,CP-MNT,MNT - FMCG
304,CP-MNT,INDUSTRIAL
401,Construction Chemicals,CC - Retail
402,PLUB-MSP-CIPY,CC - PROJECT
403,PLUB-MSP-CIPY,CC - KEY ACCOUNTS
406,Construction Chemicals,ROFF - Retail
407,PLUB-MSP-CIPY,CC – Midsize Project
408,Construction Chemicals,ROFF Projects
409,Construction Chemicals,CC Roff Tenax
451,PLUB-MSP-CIPY,LUB - NORTH
452,PLUB-MSP-CIPY,LUB - SOUTH
453,PLUB-MSP-CIPY,LUB - EAST
454,PLUB-MSP-CIPY,LUB - WEST
455,PLUB-MSP-CIPY,LUB -Cipy Dom SALES
456,PLUB-MSP-CIPY,Lub-Cipy Export Sale
457,PLUB-MSP-CIPY,LUB–Midsize Project
501,IP1,IP1 - RESIN1
502,IP1,IP1 - RESIN2
503,IP1,IP1 - LEATHER CHEM.
504,IP1,IP1 - FOOTWEAR
505,IP1,IP1 - MRO
506,IP1,IP1 - IBS
508,IP1,Dental Under IP1
601,IP2,IP2 - PIGMENT
602,IP2,IP2 - TEXTILE
604,IP2,PAPER DIVISION
901,EI,RURBAN
902,EI,Small Town India
949,INO,Deem.Expo.Countries
951,INO,EXPORTS - CPASF
952,IP1,EXPORTS - EI1FW
953,IP1,EXPORTS - EI1LT
954,IP1,EXPORTS - EI1R1
955,IP1,EXPORTS - EI1R2
956,IP2,EXPORTS - EI2PG
957,IP2,EXPORTS - EI2TX
958,INO,EXPORTS - MEA - FCPC
959,INO,EXPORTS - SEA - FCPC
960,INO,EXPORTS - ROCW- FCPC
961,IP2,EPAPER DIVISION-EXP
975,ICA,ICA PIL Retl Distrib
